Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Homepage Test,1250,744,207,15908,1305.54,0.000%,4.34168,65.98,0.80,15562.0
TOTAL,1250,744,207,15908,1305.54,0.000%,4.34168,65.98,0.80,15562.0
